Packet [ 499 ]: 500587.74271, 3,   1.302,  4.262,  7.767
Packet [ 424 ]: 500588.21269, 3,   0.048,  5.037,  8.341, 4,  -0.032, -0.002, -0.060
Packet [ 423 ]: 500588.21770, 3,   0.077,  5.018,  8.322, 4,  -0.022, -0.007, -0.059, 5, -340.188, 38.875,-65.938
Packet [ 422 ]: 500588.22271, 3,   0.077,  4.990,  8.284, 4,  -0.017, -0.018, -0.060
Packet [ 421 ]: 500588.22768, 3,   0.124,  4.932,  8.226, 4,  -0.013, -0.026, -0.060, 5, -339.938, 38.938,-65.938
Packet [ 420 ]: 500588.23269, 3,   0.115,  4.913,  8.159, 4,  -0.010, -0.032, -0.062
Packet [ 419 ]: 500588.23769, 3,   0.086,  4.894,  8.102, 4,  -0.007, -0.040, -0.067, 5, -340.063, 39.125,-65.938
Packet [ 418 ]: 500588.24270, 3,  -0.029,  4.932,  8.102, 4,  -0.007, -0.042, -0.068
Packet [ 417 ]: 500588.24770, 3,  -0.134,  4.990,  8.083, 4,  -0.012, -0.040, -0.066, 5, -339.688, 39.250,-65.813
Packet [ 416 ]: 500588.25271, 3,  -0.086,  5.066,  8.121, 4,  -0.013, -0.038, -0.065
Packet [ 415 ]: 500588.25768, 3,  -0.096,  5.133,  8.159, 4,  -0.013, -0.031, -0.048, 5, -339.688, 38.938,-66.063
Packet [ 414 ]: 500588.26269, 3,  -0.038,  5.162,  8.198, 4,  -0.013, -0.031, -0.039
Packet [ 413 ]: 500588.26769, 3,   0.048,  5.133,  8.198, 4,  -0.006, -0.026, -0.022, 5, -339.938, 38.875,-66.438
Packet [ 412 ]: 500588.27270, 3,   0.172,  5.057,  8.236, 4,  -0.004, -0.022, -0.016
Packet [ 411 ]: 500588.27770, 3,   0.249,  4.970,  8.207, 4,   0.009, -0.022, -0.012, 5, -340.313, 39.063,-66.375
Packet [ 410 ]: 500588.28271, 3,   0.249,  4.894,  8.102, 4,   0.018, -0.023, -0.011
Packet [ 409 ]: 500588.28768, 3,   0.230,  4.875,  8.016, 4,   0.022, -0.026, -0.016, 5, -340.125, 39.375,-66.375
